sample_accession	study_accession	run_accession	sample_alias	secondary_sample_accession	first_public	last_updated	instrument_model	library_layout	library_source	instrument_platform	library_name	library_strategy	fastq_aspera	fastq_bytes	fastq_md5	fastq_ftp	read_count	submitted_ftp
SAMEA5382976	PRJEB31618	ERR3210400	d9e2e86c-5c0d-11e7-86e3-68b599768938	ERS3189349	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105004S	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210400/ERR3210400_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210400/ERR3210400_2.fastq.gz	615431902;640654302	2ad6c444d85df88b6273e8e18555688e;d1406e1f597b78e5b7e07259ffee5429	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210400/ERR3210400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210400/ERR3210400_2.fastq.gz	22890680	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210400/23138_1#1.cram
SAMEA5382977	PRJEB31618	ERR3210401	d9ebcc5c-5c0d-11e7-86e3-68b599768938	ERS3189350	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105005T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210401/ERR3210401_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210401/ERR3210401_2.fastq.gz	775346403;812315316	1875760b7a2aec86c22e9006619ba4bb;936e767877127cd9439f4a69125c7ec0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210401/ERR3210401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210401/ERR3210401_2.fastq.gz	28465764	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210401/23138_1#2.cram
SAMEA5382978	PRJEB31618	ERR3210402	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210402/ERR3210402_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210402/ERR3210402_2.fastq.gz	822786754;848088900	ffd181cbfaf43050d78f29993be2fe92;9dbc8ed5d057208e2f458c664bd04df9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210402/ERR3210402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210402/ERR3210402_2.fastq.gz	30331048	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210402/23138_1#3.cram
SAMEA5382979	PRJEB31618	ERR3210403	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210403/ERR3210403_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210403/ERR3210403_2.fastq.gz	729330205;759846961	5c9f38172fd6f7a5921c676df0914483;286dae56178ae49528382cab5b3f334c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210403/ERR3210403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210403/ERR3210403_2.fastq.gz	26918234	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210403/23138_1#4.cram
SAMEA5382980	PRJEB31618	ERR3210404	d9fd7b82-5c0d-11e7-86e3-68b599768938	ERS3189353	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105008W	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210404/ERR3210404_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210404/ERR3210404_2.fastq.gz	474655305;492066652	a1e4281a034230e626873fc82fb2571b;0767575c09b67bad9d91519762c1a0e1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210404/ERR3210404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210404/ERR3210404_2.fastq.gz	17828640	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210404/23138_1#5.cram
SAMEA5382975	PRJEB31618	ERR3210405	da086272-5c0d-11e7-86e3-68b599768938	ERS3189348	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105010Q	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210405/ERR3210405_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210405/ERR3210405_2.fastq.gz	744020466;770130171	cb2b450de7b7ae77febd1a6de7f7865f;c011ff19f70af5063ee717a3fa4a5a96	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210405/ERR3210405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210405/ERR3210405_2.fastq.gz	27534916	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210405/23138_1#7.cram
SAMEA5382982	PRJEB31618	ERR3210406	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210406/ERR3210406_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210406/ERR3210406_2.fastq.gz	615396344;630004167	302f1de6b9c22586b76d71c1508c9bf8;020003f633be6bdbc82583d5d1f93f7c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210406/ERR3210406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210406/ERR3210406_2.fastq.gz	22279634	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210406/23138_1#8.cram
SAMEA5382984	PRJEB31618	ERR3210407	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210407/ERR3210407_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210407/ERR3210407_2.fastq.gz	803110491;823136124	993344c9e36bd7bef0f15d2ed29c817e;72fd9108104eee13ced1cb15fed8547e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210407/ERR3210407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210407/ERR3210407_2.fastq.gz	30053158	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210407/23138_1#9.cram
SAMEA5382976	PRJEB31618	ERR3210408	d9e2e86c-5c0d-11e7-86e3-68b599768938	ERS3189349	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105004S	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210408/ERR3210408_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210408/ERR3210408_2.fastq.gz	610450058;635292373	82e6553d1783bf8a4104b3a5d303a5bc;54e681b980fa4876ce37896b33833dd2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210408/ERR3210408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210408/ERR3210408_2.fastq.gz	22739544	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210408/23138_2#1.cram
SAMEA5382977	PRJEB31618	ERR3210409	d9ebcc5c-5c0d-11e7-86e3-68b599768938	ERS3189350	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105005T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210409/ERR3210409_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210409/ERR3210409_2.fastq.gz	769642182;804655780	3f56b7013c537b31095dd08dafbc84c4;2e2760aa1fc5112c2f8ff2de49845bfa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210409/ERR3210409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210409/ERR3210409_2.fastq.gz	28309102	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210409/23138_2#2.cram
SAMEA5382978	PRJEB31618	ERR3210410	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210410/ERR3210410_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210410/ERR3210410_2.fastq.gz	816791328;842513136	33d94995e80abf1eec89d91622697fcb;faa237b23d32ace905e033459bfb7830	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210410/ERR3210410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210410/ERR3210410_2.fastq.gz	30169296	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210410/23138_2#3.cram
