"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"Library_Built"	"UDG"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA5229279"	"PRJEB30874"	"ERR3078265"	"I10899"	"I10899_published"	"ds"	"half"	"ERS3036721"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10899_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/005/ERR3078265/ERR3078265.fastq.gz"	150739340	"478a01e865fda3af6a1d37fc522f8e8e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/005/ERR3078265/ERR3078265.fastq.gz"	4714694	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078265/I10899_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078265/I10899_1240k.bam.bai"
"SAMEA5229284"	"PRJEB30874"	"ERR3078266"	"I11300"	"I11300"	"ds"	"half"	"ERS3036726"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11300_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/006/ERR3078266/ERR3078266.fastq.gz"	9538008	"9e7b7527e0dd511afdfb1f136656bd66"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/006/ERR3078266/ERR3078266.fastq.gz"	319523	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078266/I11300_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078266/I11300_1240k.bam.bai"
"SAMEA5229285"	"PRJEB30874"	"ERR3078267"	"I11301"	"I11301"	"ds"	"half"	"ERS3036727"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11301_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/007/ERR3078267/ERR3078267.fastq.gz"	143550581	"ff577e10faa68d5ebf8605c4ea5b5bc2"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/007/ERR3078267/ERR3078267.fastq.gz"	4470701	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078267/I11301_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078267/I11301_1240k.bam.bai"
"SAMEA5229286"	"PRJEB30874"	"ERR3078268"	"I11248"	"I11248"	"ds"	"half"	"ERS3036728"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11248_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/008/ERR3078268/ERR3078268.fastq.gz"	535478292	"67d894bc49bb21e0018407debbbf5c3c"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/008/ERR3078268/ERR3078268.fastq.gz"	16344366	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078268/I11248_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078268/I11248_1240k.bam.bai"
"SAMEA5229287"	"PRJEB30874"	"ERR3078269"	"I11249"	"I11249"	"ds"	"half"	"ERS3036729"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11249_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/009/ERR3078269/ERR3078269.fastq.gz"	342854922	"0ebd66a139252e2dd65e64649ad30bda"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/009/ERR3078269/ERR3078269.fastq.gz"	10291047	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078269/I11249_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078269/I11249_1240k.bam.bai"
"SAMEA5229302"	"PRJEB30874"	"ERR3078270"	"I11303"	"I11303"	"ds"	"half"	"ERS3036744"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11303_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/000/ERR3078270/ERR3078270.fastq.gz"	11667795	"90a282f23fd09111a04343aa33757d43"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/000/ERR3078270/ERR3078270.fastq.gz"	416844	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078270/I11303_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078270/I11303_1240k.bam.bai"
"SAMEA5229303"	"PRJEB30874"	"ERR3078271"	"I11304"	"I11304_published"	"ds"	"half"	"ERS3036745"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11304_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/001/ERR3078271/ERR3078271.fastq.gz"	18150632	"b476b17dcfdfcc4a7005ff6f757befc8"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/001/ERR3078271/ERR3078271.fastq.gz"	644015	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078271/I11304_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078271/I11304_1240k.bam.bai"
"SAMEA5229304"	"PRJEB30874"	"ERR3078272"	"I11305"	"I11305"	"ds"	"half"	"ERS3036746"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11305_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/002/ERR3078272/ERR3078272.fastq.gz"	115403779	"2cad65522bbe68ea229fe05ad1e38659"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/002/ERR3078272/ERR3078272.fastq.gz"	3343094	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078272/I11305_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078272/I11305_1240k.bam.bai"
"SAMEA5229305"	"PRJEB30874"	"ERR3078273"	"I11306"	"I11306"	"ds"	"half"	"ERS3036747"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11306_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/003/ERR3078273/ERR3078273.fastq.gz"	95308408	"0a6f5a5b98cb0113e60acea876e61566"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/003/ERR3078273/ERR3078273.fastq.gz"	2850534	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078273/I11306_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078273/I11306_1240k.bam.bai"
"SAMEA5229326"	"PRJEB30874"	"ERR3078274"	"I8134"	"I8134"	"ds"	"half"	"ERS3036768"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I8134_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/004/ERR3078274/ERR3078274.fastq.gz"	195927431	"fd455edc8ceba18f6be6f827cbc5225b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/004/ERR3078274/ERR3078274.fastq.gz"	6776653	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078274/I8134_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078274/I8134_1240k.bam.bai"
"SAMEA5229356"	"PRJEB30874"	"ERR3078275"	"I11614"	"I11614"	"ds"	"half"	"ERS3036798"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11614_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/005/ERR3078275/ERR3078275.fastq.gz"	240732065	"7e57fcd212b1c702f27a7ad45f4ffa43"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/005/ERR3078275/ERR3078275.fastq.gz"	8317418	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078275/I11614_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078275/I11614_1240k.bam.bai"
"SAMEA5229357"	"PRJEB30874"	"ERR3078276"	"I11592"	"I11592"	"ds"	"half"	"ERS3036799"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11592_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/006/ERR3078276/ERR3078276.fastq.gz"	172175097	"74df2c808aa1d63d81a7913402ad2dc6"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/006/ERR3078276/ERR3078276.fastq.gz"	5611634	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078276/I11592_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078276/I11592_1240k.bam.bai"
"SAMEA5229358"	"PRJEB30874"	"ERR3078277"	"I11599"	"I11599"	"ds"	"half"	"ERS3036800"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11599_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/007/ERR3078277/ERR3078277.fastq.gz"	111034728	"abc6bc8b2552abfc5e3e2ff1fbd68809"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/007/ERR3078277/ERR3078277.fastq.gz"	3657212	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078277/I11599_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078277/I11599_1240k.bam.bai"
"SAMEA5229359"	"PRJEB30874"	"ERR3078278"	"I11601"	"I11601"	"ds"	"half"	"ERS3036801"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11601_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/008/ERR3078278/ERR3078278.fastq.gz"	38400528	"505190d745c71a78f3363518b9e81850"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/008/ERR3078278/ERR3078278.fastq.gz"	1322031	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078278/I11601_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078278/I11601_1240k.bam.bai"
"SAMEA5229362"	"PRJEB30874"	"ERR3078279"	"I11604"	"I11604"	"ds"	"half"	"ERS3036804"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11604_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/009/ERR3078279/ERR3078279.fastq.gz"	14645165	"0e718d880889577898622834fc5b7d22"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/009/ERR3078279/ERR3078279.fastq.gz"	493777	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078279/I11604_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078279/I11604_1240k.bam.bai"
"SAMEA5229363"	"PRJEB30874"	"ERR3078280"	"I11605"	"I11605"	"ds"	"half"	"ERS3036805"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I11605_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/000/ERR3078280/ERR3078280.fastq.gz"	168476601	"992fbf5c0909de95b99c7ac0e1a0841d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/000/ERR3078280/ERR3078280.fastq.gz"	4942101	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078280/I11605_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078280/I11605_1240k.bam.bai"
"SAMEA5229448"	"PRJEB30874"	"ERR3078281"	"I12173"	"I12173_published"	"ds"	"half"	"ERS3036889"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12173_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/001/ERR3078281/ERR3078281.fastq.gz"	2590862	"0a27a313a08ea60e9a5f5aa4be88f994"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/001/ERR3078281/ERR3078281.fastq.gz"	99580	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078281/I12173_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078281/I12173_1240k.bam.bai"
"SAMEA5229449"	"PRJEB30874"	"ERR3078282"	"I12171"	"I12171_published"	"ds"	"half"	"ERS3036890"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12171_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/002/ERR3078282/ERR3078282.fastq.gz"	14882619	"8b6adfba6953e8e418be77bf8d127fa2"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/002/ERR3078282/ERR3078282.fastq.gz"	473227	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078282/I12171_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078282/I12171_1240k.bam.bai"
"SAMEA5229469"	"PRJEB30874"	"ERR3078283"	"I10865"	"I10865"	"ds"	"half"	"ERS3036910"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10865_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/003/ERR3078283/ERR3078283.fastq.gz"	7040534	"9ea68886536f4d9b20ebd6ece5f97754"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/003/ERR3078283/ERR3078283.fastq.gz"	248919	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078283/I10865_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078283/I10865_1240k.bam.bai"
"SAMEA5229470"	"PRJEB30874"	"ERR3078284"	"I10866"	"I10866"	"ds"	"half"	"ERS3036911"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10866_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/004/ERR3078284/ERR3078284.fastq.gz"	407312309	"f4a009a0e287362df5c311fed843ef65"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/004/ERR3078284/ERR3078284.fastq.gz"	13432414	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078284/I10866_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078284/I10866_1240k.bam.bai"
"SAMEA5229490"	"PRJEB30874"	"ERR3078285"	"I12029"	"I12029_published"	"ds"	"half"	"ERS3036931"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12029_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/005/ERR3078285/ERR3078285.fastq.gz"	4058837	"b2b261a5d0d7c9c461703f37a371eba1"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/005/ERR3078285/ERR3078285.fastq.gz"	176683	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078285/I12029_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078285/I12029_1240k.bam.bai"
