"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA6801337"	"PRJEB37490"	"ERR4065478"	"SJN001"	"SJN001"	"ERS4528997"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"SJN001.A0101"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/008/ERR4065478/ERR4065478.fastq.gz"	275370271	"0464edab02279e7c87320ff1eb6c0eac"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/008/ERR4065478/ERR4065478.fastq.gz"	7392875	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065478/SJN001.A0101_S0_L003_R1_001.fastq.truncated.gz"
"SAMEA6801337"	"PRJEB37490"	"ERR4065479"	"SJN001"	"SJN001"	"ERS4528997"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"SJN001.B0101"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/009/ERR4065479/ERR4065479.fastq.gz"	279472384	"52e9b2e78f0fd1bb0d65c3390e825eb8"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/009/ERR4065479/ERR4065479.fastq.gz"	7416023	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065479/SJN001.B0101_S0_L003_R1_001.fastq.truncated.gz"
"SAMEA6801339"	"PRJEB37490"	"ERR4065480"	"SJN002"	"SJN002"	"ERS4528999"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"SJN002.A0101"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/000/ERR4065480/ERR4065480.fastq.gz"	222577992	"5651d4b13e2baa830a649178cbc36adb"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/000/ERR4065480/ERR4065480.fastq.gz"	6217740	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065480/SJN002.A0101_S0_L003_R1_001.fastq.truncated.gz"
"SAMEA6801339"	"PRJEB37490"	"ERR4065481"	"SJN002"	"SJN002"	"ERS4528999"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"SJN002.B0101"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/001/ERR4065481/ERR4065481.fastq.gz"	324045160	"20dd692a8aded4f79c7d5c2840885553"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/001/ERR4065481/ERR4065481.fastq.gz"	8814520	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065481/SJN002.B0101_S0_L003_R1_001.fastq.truncated.gz"
"SAMEA6801340"	"PRJEB37490"	"ERR4065482"	"SJN003"	"SJN003"	"ERS4529000"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"SJN003.A0101"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/002/ERR4065482/ERR4065482.fastq.gz"	259006300	"2721e6407703803ff75ba7cd76405ccd"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/002/ERR4065482/ERR4065482.fastq.gz"	6746607	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065482/SJN003.A0101_S0_L003_R1_001.fastq.truncated.gz"
"SAMEA6801340"	"PRJEB37490"	"ERR4065483"	"SJN003"	"SJN003"	"ERS4529000"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"SJN003.B0101"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/003/ERR4065483/ERR4065483.fastq.gz"	347088887	"c3e33740e956d4f8c1458f86d64e431c"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/003/ERR4065483/ERR4065483.fastq.gz"	8925991	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065483/SJN003.B0101_S0_L003_R1_001.fastq.truncated.gz"
"SAMEA6801337"	"PRJEB37490"	"ERR4065484"	"SJN001"	"SJN001"	"ERS4528997"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"PAIRED"	"METAGENOMIC"	"ILLUMINA"	"SJN001.A0102"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/004/ERR4065484/ERR4065484_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/004/ERR4065484/ERR4065484_2.fastq.gz"	"366225393;378838635"	"45f60e45c44c2566942e91a639724fc3;4ac1a23af9058514b9aa86e35144264d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/004/ERR4065484/ERR4065484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/004/ERR4065484/ERR4065484_2.fastq.gz"	12417953	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065484/SJN001.A0102.1240k.merged.R1.fastq.pair1.truncated.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065484/SJN001.A0102.1240k.merged.R1.fastq.pair2.truncated.gz"
"SAMEA6801337"	"PRJEB37490"	"ERR4065485"	"SJN001"	"SJN001"	"ERS4528997"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"PAIRED"	"METAGENOMIC"	"ILLUMINA"	"SJN001.B0102"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/005/ERR4065485/ERR4065485_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/005/ERR4065485/ERR4065485_2.fastq.gz"	"346351304;364701795"	"77b32adb1c34c0046910d09d4f860c7c;92da5f49fdf5196a83cb974b180893be"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/005/ERR4065485/ERR4065485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/005/ERR4065485/ERR4065485_2.fastq.gz"	11329079	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065485/SJN001.B0102.1240k.merged.R1.fastq.pair1.truncated.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065485/SJN001.B0102.1240k.merged.R1.fastq.pair2.truncated.gz"
"SAMEA6801339"	"PRJEB37490"	"ERR4065486"	"SJN002"	"SJN002"	"ERS4528999"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"PAIRED"	"METAGENOMIC"	"ILLUMINA"	"SJN002.A0102"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/006/ERR4065486/ERR4065486_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/006/ERR4065486/ERR4065486_2.fastq.gz"	"396011651;411670319"	"ba61f4a4dd0599a827b04c24f84fbf29;1961f669bdc5608d1179e879f2479904"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/006/ERR4065486/ERR4065486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/006/ERR4065486/ERR4065486_2.fastq.gz"	13505305	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065486/SJN002.A0102.1240k.merged.R1.fastq.pair1.truncated.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065486/SJN002.A0102.1240k.merged.R1.fastq.pair2.truncated.gz"
"SAMEA6801339"	"PRJEB37490"	"ERR4065487"	"SJN002"	"SJN002"	"ERS4528999"	2020-04-29	2020-04-24	"Illumina HiSeq 4000"	"PAIRED"	"METAGENOMIC"	"ILLUMINA"	"SJN002.B0102"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/007/ERR4065487/ERR4065487_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR406/007/ERR4065487/ERR4065487_2.fastq.gz"	"369127816;383159853"	"7a67022195006fc6b1a2298ab7ae6ffd;0aa267075059d40b2b450a3fd7cffcef"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/007/ERR4065487/ERR4065487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR406/007/ERR4065487/ERR4065487_2.fastq.gz"	12438586	"ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065487/SJN002.B0102.1240k.merged.R1.fastq.pair1.truncated.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR406/ERR4065487/SJN002.B0102.1240k.merged.R1.fastq.pair2.truncated.gz"
