"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"UDG"	"Genotype_Ploidy"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA6793027"	"PRJEB36854"	"ERR4057221"	"ANN1"	"ANN1"	"plus"	"haploid"	"ERS4520698"	2020-06-18	2020-04-23	"Illumina MiSeq"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-LIB1-44-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/001/ERR4057221/ERR4057221.fastq.gz"	13185411	"b687c735adc31f19174436a28973be9c"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4057221/ERR4057221.fastq.gz"	258012	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057221/ANN1-B-EX3-LIB1-44-PCR1-Mi10.fastq.gz"
"SAMEA6793027"	"PRJEB36854"	"ERR4057222"	"ANN1"	"ANN1"	"plus"	"haploid"	"ERS4520698"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-37-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/002/ERR4057222/ERR4057222.fastq.gz"	1786370492	"507bf637a73afeb40e91dcc142fe8f1e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4057222/ERR4057222.fastq.gz"	31114776	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057222/ANN1-B-EX3-UDG1-37-PCR1-Hi7.fastq.gz"
"SAMEA6793027"	"PRJEB36854"	"ERR4057223"	"ANN1"	"ANN1"	"plus"	"haploid"	"ERS4520698"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-38-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/003/ERR4057223/ERR4057223.fastq.gz"	1773640283	"50cd4527beb5c5b3239e8db1d87f7497"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4057223/ERR4057223.fastq.gz"	31291013	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057223/ANN1-B-EX3-UDG1-38-PCR1-Hi7.fastq.gz"
"SAMEA6793027"	"PRJEB36854"	"ERR4057224"	"ANN1"	"ANN1"	"plus"	"haploid"	"ERS4520698"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-39-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/004/ERR4057224/ERR4057224.fastq.gz"	1503350210	"85b1be64b56a574c0b41839e2352043f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4057224/ERR4057224.fastq.gz"	26310663	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057224/ANN1-B-EX3-UDG1-39-PCR1-Hi7.fastq.gz"
"SAMEA6793027"	"PRJEB36854"	"ERR4057225"	"ANN1"	"ANN1"	"plus"	"haploid"	"ERS4520698"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-40-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/005/ERR4057225/ERR4057225.fastq.gz"	1963641926	"cfef7bb04a11c3bd89de7ed586c9657d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4057225/ERR4057225.fastq.gz"	34528428	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057225/ANN1-B-EX3-UDG1-40-PCR1-Hi7.fastq.gz"
"SAMEA6793028"	"PRJEB36854"	"ERR4057226"	"ANN2"	"ANN2"	"plus"	"haploid"	"ERS4520699"	2020-06-18	2020-04-23	"Illumina MiSeq"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-WEX1-LIB1-34-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/006/ERR4057226/ERR4057226.fastq.gz"	11301979	"3958e915c92149662556bda3cadfd101"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4057226/ERR4057226.fastq.gz"	194889	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057226/ANN2-B-WEX1-LIB1-34-PCR1-Mi13.fastq.gz"
"SAMEA6793028"	"PRJEB36854"	"ERR4057227"	"ANN2"	"ANN2"	"plus"	"haploid"	"ERS4520699"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-WEX1-UDG1-102-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/007/ERR4057227/ERR4057227.fastq.gz"	1280660037	"8a13d8502d2ba646a1f6ea9530c99593"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4057227/ERR4057227.fastq.gz"	18879519	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057227/ANN2-B-WEX1-UDG1-102-PCR1-Hi18.fastq.gz"
"SAMEA6793028"	"PRJEB36854"	"ERR4057228"	"ANN2"	"ANN2"	"plus"	"haploid"	"ERS4520699"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-WEX1-UDG1-105-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/008/ERR4057228/ERR4057228.fastq.gz"	1182504237	"1bc369ed9f588f88b4fbc12fbf832c92"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4057228/ERR4057228.fastq.gz"	17729523	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057228/ANN2-B-WEX1-UDG1-105-PCR1-Hi18.fastq.gz"
"SAMEA6793029"	"PRJEB36854"	"ERR4057229"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina MiSeq"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-LIB1-22-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/009/ERR4057229/ERR4057229.fastq.gz"	11534856	"2d44ab5929e7e8b0defe347daaf9ad51"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4057229/ERR4057229.fastq.gz"	218813	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057229/ARD2-A-EX3-LIB1-22-PCR1-Mi10.fastq.gz"
"SAMEA6793029"	"PRJEB36854"	"ERR4057230"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-43-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/000/ERR4057230/ERR4057230.fastq.gz"	1728728075	"c7c7979deaa2aa93ecfba77f14071f58"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4057230/ERR4057230.fastq.gz"	29640953	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057230/ARD2-A-EX3-UDG1-43-PCR1-Hi7.fastq.gz"
