"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"UDG"	"Library_Built"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA5882439"	"PRJEB34091"	"ERR3489902"	"pcw040"	"pcw040"	"minus"	"ds"	"ERS3670899"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/002/ERR3489902/ERR3489902.fastq.gz"	4440747149	"49fa87cfaabd064236295c6d92ef55fd"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/002/ERR3489902/ERR3489902.fastq.gz"	96203089	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489902/pcw040_2bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489902/pcw040_2bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882440"	"PRJEB34091"	"ERR3489903"	"pcw041"	"pcw041"	"minus"	"ds"	"ERS3670900"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/003/ERR3489903/ERR3489903.fastq.gz"	626290094	"dd9641c48e4cfe962a36b36b88a1aa6e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/003/ERR3489903/ERR3489903.fastq.gz"	12035752	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489903/pcw041_5bams_merged.180601.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489903/pcw041_5bams_merged.180601.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882441"	"PRJEB34091"	"ERR3489904"	"pcw061"	"pcw061"	"minus"	"ds"	"ERS3670901"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/004/ERR3489904/ERR3489904.fastq.gz"	1424732587	"721bd0ca639250926b521fbc324bb0a2"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/004/ERR3489904/ERR3489904.fastq.gz"	25576167	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489904/pcw061_3bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489904/pcw061_3bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882442"	"PRJEB34091"	"ERR3489905"	"pcw062"	"pcw062"	"minus"	"ds"	"ERS3670902"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/005/ERR3489905/ERR3489905.fastq.gz"	45023889	"e06e17a1661a241b10dbd02adffc03e0"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/005/ERR3489905/ERR3489905.fastq.gz"	685396	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489905/pcw062_4bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489905/pcw062_4bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882443"	"PRJEB34091"	"ERR3489906"	"pcw070"	"pcw070"	"minus"	"ds"	"ERS3670903"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/006/ERR3489906/ERR3489906.fastq.gz"	1538871100	"be1a130b7d33eb5662d9e8f5345f0c0a"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/006/ERR3489906/ERR3489906.fastq.gz"	31561268	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489906/pcw070_2bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489906/pcw070_2bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882444"	"PRJEB34091"	"ERR3489907"	"pcw110"	"pcw110"	"minus"	"ds"	"ERS3670904"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/007/ERR3489907/ERR3489907.fastq.gz"	90956525	"08352ff7ff69645bd40a234c8f520de2"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/007/ERR3489907/ERR3489907.fastq.gz"	2277604	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489907/pcw110_3bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489907/pcw110_3bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882445"	"PRJEB34091"	"ERR3489908"	"pcw160"	"pcw160"	"minus"	"ds"	"ERS3670905"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/008/ERR3489908/ERR3489908.fastq.gz"	88008449	"b5044446af1d108eb43f52231f4a45c9"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/008/ERR3489908/ERR3489908.fastq.gz"	1882380	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489908/pcw160_5bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489908/pcw160_5bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882446"	"PRJEB34091"	"ERR3489909"	"pcw191"	"pcw191"	"minus"	"ds"	"ERS3670906"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/009/ERR3489909/ERR3489909.fastq.gz"	226349004	"20de72b1fce76fa5131d79e794c838b3"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/009/ERR3489909/ERR3489909.fastq.gz"	6066331	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489909/pcw191_3bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489909/pcw191_3bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882447"	"PRJEB34091"	"ERR3489910"	"pcw211"	"pcw211"	"minus"	"ds"	"ERS3670907"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/000/ERR3489910/ERR3489910.fastq.gz"	1803582025	"4833ce56aef487fc3ded8c1ce68ea57d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/000/ERR3489910/ERR3489910.fastq.gz"	32006664	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489910/pcw211_2bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489910/pcw211_2bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
"SAMEA5882448"	"PRJEB34091"	"ERR3489911"	"pcw212"	"pcw212"	"minus"	"ds"	"ERS3670908"	2020-04-18	2019-08-22	"HiSeq X Ten"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR348/001/ERR3489911/ERR3489911.fastq.gz"	245434183	"b85f1e9404b827b0c2d208a62367889d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/001/ERR3489911/ERR3489911.fastq.gz"	4540063	"ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489911/pcw212_4bams_merged.180521.hs37d5.fa.cons.90perc.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR348/ERR3489911/pcw212_4bams_merged.180521.hs37d5.fa.cons.90perc.bam.bai"
