"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"UDG"	"Library_Built"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA6850807"	"PRJEB37518"	"ERR4170302"	"ALG001"	"ALG001"	"minus"	"ds"	"ERS4578401"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"ALG001.A0101.TF1.12"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/002/ERR4170302/ERR4170302.fastq.gz"	69836674	"f9b0994296710cb51872cadff102e06e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/002/ERR4170302/ERR4170302.fastq.gz"	1918610	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170302/ALG001.A0101.TF1.12.bam"
"SAMEA6850808"	"PRJEB37518"	"ERR4170303"	"ALG002"	"ALG002"	"minus"	"ds"	"ERS4578402"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"ALG002.A0101.TF1.12"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/003/ERR4170303/ERR4170303.fastq.gz"	66991543	"27128ba3ec0a9bcc6a79264202433701"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/003/ERR4170303/ERR4170303.fastq.gz"	1850516	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170303/ALG002.A0101.TF1.12.bam"
"SAMEA6850809"	"PRJEB37518"	"ERR4170304"	"ALG003"	"ALG003"	"minus"	"ds"	"ERS4578403"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"ALG003.A0101.TF1.12"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/004/ERR4170304/ERR4170304.fastq.gz"	65702073	"f985dc48df94706734ab54f59e4c051a"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/004/ERR4170304/ERR4170304.fastq.gz"	1818962	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170304/ALG003.A0101.TF1.12.bam"
"SAMEA6850810"	"PRJEB37518"	"ERR4170305"	"ALG004"	"ALG004"	"minus"	"ds"	"ERS4578404"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"ALG004.A0101.TF1.12"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/005/ERR4170305/ERR4170305.fastq.gz"	67599236	"f5166e22ffc578f8380c3ac723a39b29"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/005/ERR4170305/ERR4170305.fastq.gz"	1860300	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170305/ALG004.A0101.TF1.12.bam"
"SAMEA6850811"	"PRJEB37518"	"ERR4170306"	"CAA001003"	"CAA001003"	"half"	"ds"	"ERS4578405"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"CAA001003.A0101.TF1.12"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/006/ERR4170306/ERR4170306.fastq.gz"	336417609	"d47ce87b6e072d1ebbc73827016c0630"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/006/ERR4170306/ERR4170306.fastq.gz"	9660049	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170306/CAA001003.TF1.1.bam"
"SAMEA6850813"	"PRJEB37518"	"ERR4170308"	"CAO001"	"CAO001"	"half"	"ds"	"ERS4578407"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"CAO001.A0101.TF1.1"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/008/ERR4170308/ERR4170308.fastq.gz"	106301181	"c403f8e9d278fc18cb65c69c0291b9f9"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/008/ERR4170308/ERR4170308.fastq.gz"	2935895	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170308/CAO001.A0101.TF1.1.bam"
"SAMEA6850814"	"PRJEB37518"	"ERR4170309"	"CAO002008"	"CAO002008"	"half"	"ds"	"ERS4578408"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"CAO002008.A0101.TF1.1"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/009/ERR4170309/ERR4170309.fastq.gz"	156014279	"8012b89a98b4f7172f748e829331acda"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/009/ERR4170309/ERR4170309.fastq.gz"	4091385	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170309/CAO002008.TF1.1.bam"
"SAMEA6850815"	"PRJEB37518"	"ERR4170310"	"CAO004"	"CAO004"	"half"	"ds"	"ERS4578409"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"CAO004.B0101.TF1.1"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/000/ERR4170310/ERR4170310.fastq.gz"	7743977	"e51f1d6cb56c2336e487fcc214c7ebc1"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/000/ERR4170310/ERR4170310.fastq.gz"	206984	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170310/CAO004.B0101.TF1.1.bam"
"SAMEA6850816"	"PRJEB37518"	"ERR4170311"	"CAO006"	"CAO006"	"half"	"ds"	"ERS4578410"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"CAO006.A0101.TF1.1"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/001/ERR4170311/ERR4170311.fastq.gz"	13003317	"d0a6750bea4107d8ed339616a9aa185d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/001/ERR4170311/ERR4170311.fastq.gz"	323322	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170311/CAO006.A0101.TF1.1.bam"
"SAMEA6850817"	"PRJEB37518"	"ERR4170312"	"CAO007"	"CAO007"	"half"	"ds"	"ERS4578411"	2020-06-03	2020-05-20	"Illumina HiSeq 4000"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"CAO007.A0101.TF1.1"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR417/002/ERR4170312/ERR4170312.fastq.gz"	108667005	"dae747c1d5c638b9cd0015c0565cd82e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/002/ERR4170312/ERR4170312.fastq.gz"	2786042	"ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4170312/CAO007.A0101.TF1.1.bam"
