"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA6462914"	"PRJEB36063"	"ERR3803822"	"NYA002"	"NYA002"	"ERS4228419"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"NYA002.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/002/ERR3803822/ERR3803822.fastq.gz"	39515058	"90a91c9ae3c59da44c15f88f16165c50"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/002/ERR3803822/ERR3803822.fastq.gz"	1399668	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803822/NYA002.A0101.bam"
"SAMEA6462915"	"PRJEB36063"	"ERR3803823"	"NYA003"	"NYA003"	"ERS4228420"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"NYA003.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/003/ERR3803823/ERR3803823.fastq.gz"	9330411	"efeb791775c83c4bdb4fa6b6dfe9addc"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/003/ERR3803823/ERR3803823.fastq.gz"	384461	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803823/NYA003.A0101.bam"
"SAMEA6462916"	"PRJEB36063"	"ERR3803824"	"LUK001"	"LUK001"	"ERS4228421"	2020-06-12	2020-01-10	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"LUK001.A0101; LUK002.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/004/ERR3803824/ERR3803824.fastq.gz"	209131894	"27ce73d223fda0cadbe927ad54e946fd"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/004/ERR3803824/ERR3803824.fastq.gz"	7592233	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803824/LUK001.A0101.bam"
"SAMEA6462917"	"PRJEB36063"	"ERR3803825"	"LUK003"	"LUK003"	"ERS4228422"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"LUK003.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/005/ERR3803825/ERR3803825.fastq.gz"	39463228	"3c5663afbeae66a771eebf003813f2a1"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/005/ERR3803825/ERR3803825.fastq.gz"	1522124	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803825/LUK003.A0101.bam"
"SAMEA6462918"	"PRJEB36063"	"ERR3803826"	"HYR002"	"HYR002"	"ERS4228423"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"HYR002.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/006/ERR3803826/ERR3803826.fastq.gz"	142535284	"0a60f7c31f44e40cc6c399be5918af45"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/006/ERR3803826/ERR3803826.fastq.gz"	5111939	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803826/HYR002.A0101.bam"
"SAMEA6462919"	"PRJEB36063"	"ERR3803827"	"MOL001"	"MOL001"	"ERS4228424"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"MOL001.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/007/ERR3803827/ERR3803827.fastq.gz"	356482832	"87c33e6863d2459684c98d34c79030bc"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/007/ERR3803827/ERR3803827.fastq.gz"	11584576	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803827/MOL001.A0101.bam"
"SAMEA6462920"	"PRJEB36063"	"ERR3803828"	"MOL003"	"MOL003"	"ERS4228425"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"MOL003.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/008/ERR3803828/ERR3803828.fastq.gz"	14579781	"22c570234135184f0930d3ecd2a0ffb5"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/008/ERR3803828/ERR3803828.fastq.gz"	522056	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803828/MOL003.A0101.bam"
"SAMEA6462921"	"PRJEB36063"	"ERR3803829"	"KPL001"	"KPL001"	"ERS4228426"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"KPL001.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/009/ERR3803829/ERR3803829.fastq.gz"	215334434	"b9631da4f3f0dfa787ca2c6c8b43dc6b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/009/ERR3803829/ERR3803829.fastq.gz"	6335307	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803829/KPL001.A0101.bam"
"SAMEA6462922"	"PRJEB36063"	"ERR3803830"	"KPL002"	"KPL002"	"ERS4228427"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"KPL002.A0101; KPL002.C0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/000/ERR3803830/ERR3803830.fastq.gz"	253209980	"38cc876f260128025e2d26e4a4ef1350"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/000/ERR3803830/ERR3803830.fastq.gz"	7035711	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803830/KPL002.COMAC.bam"
"SAMEA6462923"	"PRJEB36063"	"ERR3803831"	"KPL003"	"KPL003"	"ERS4228428"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"KPL003.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/001/ERR3803831/ERR3803831.fastq.gz"	16919505	"aee25007638907040ecf6a5c3dfabbe7"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/001/ERR3803831/ERR3803831.fastq.gz"	487920	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803831/KPL003.A0101.bam"
