"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"UDG"	"Library_Built"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA7767292"	"PRJEB42372"	"ERR5051607"	"PAPV106"				"ERS5514543"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa11"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/007/ERR5051607/ERR5051607.fastq.gz"	1938344391	"b091982536fe3311580f2b0ee8efc7cc"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/007/ERR5051607/ERR5051607.fastq.gz"	47843916	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051607/PAPV_106_FE.fastq.gz"
"SAMEA7767293"	"PRJEB42372"	"ERR5051608"	"PAPV109"				"ERS5514544"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa12"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/008/ERR5051608/ERR5051608.fastq.gz"	1154457886	"f40b63bde59cfa33ea409320255a06ab"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/008/ERR5051608/ERR5051608.fastq.gz"	29267599	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051608/PAPV_109_FE.fastq.gz"
"SAMEA7767294"	"PRJEB42372"	"ERR5051609"	"PAPV114"	"PAPV_114.SG"	"minus"	"ds"	"ERS5514545"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa09"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/009/ERR5051609/ERR5051609.fastq.gz"	1561003591	"d996bbb8282bbdeac6bd51ff8b7df255"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/009/ERR5051609/ERR5051609.fastq.gz"	41684900	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051609/PAPV_114_LTP.fastq.gz"
"SAMEA7767295"	"PRJEB42372"	"ERR5051610"	"PAPV117"	"PAPV_117.SG"	"minus"	"ds"	"ERS5514546"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa24A"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/000/ERR5051610/ERR5051610.fastq.gz"	2536033394	"f667f22519d156b6b64a85fcbf196041"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/000/ERR5051610/ERR5051610.fastq.gz"	56179981	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051610/PAPV_117_RTP.fastq.gz"
"SAMEA7767296"	"PRJEB42372"	"ERR5051611"	"PAPV118"	"PAPV_118.SG"	"minus"	"ds"	"ERS5514547"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa25"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/001/ERR5051611/ERR5051611.fastq.gz"	787969153	"3382b915200c5a12280ffd2ec6b04139"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/001/ERR5051611/ERR5051611.fastq.gz"	20281492	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051611/PAPV_118_RTP.fastq.gz"
"SAMEA7767297"	"PRJEB42372"	"ERR5051612"	"PAPV137"	"PAPV_137.SG"	"minus"	"ds"	"ERS5514548"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa26"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/002/ERR5051612/ERR5051612.fastq.gz"	1753943117	"1f5830c6b5833f3eea66d6768139703b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/002/ERR5051612/ERR5051612.fastq.gz"	40858283	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051612/PAPV_137_FE.fastq.gz"
"SAMEA7767298"	"PRJEB42372"	"ERR5051613"	"PAPV146_FE"	"PAPV_146.SG"	"minus"	"ds"	"ERS5514549"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa14"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/003/ERR5051613/ERR5051613.fastq.gz"	1126415938	"3a0339f1c7f269f3c6ed363f114fe5d3"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/003/ERR5051613/ERR5051613.fastq.gz"	27789242	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051613/PAPV_146_FE.fastq.gz"
"SAMEA7767299"	"PRJEB42372"	"ERR5051614"	"PAPV146_TP"	"PAPV_146.SG"	"minus"	"ds"	"ERS5514550"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa16A"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/004/ERR5051614/ERR5051614.fastq.gz"	1874584158	"5af436392a531bf830b6bc8d87c3b70e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/004/ERR5051614/ERR5051614.fastq.gz"	44397031	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051614/PAPV_146_TP.fastq.gz"
"SAMEA7767300"	"PRJEB42372"	"ERR5051615"	"PAPV156"				"ERS5514551"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa27"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/005/ERR5051615/ERR5051615.fastq.gz"	1459565505	"2c9fc8203aeda9326e4585498a390906"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/005/ERR5051615/ERR5051615.fastq.gz"	31600748	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051615/PAPV_156_HU.fastq.gz"
"SAMEA7767301"	"PRJEB42372"	"ERR5051616"	"PAPV167"	"PAPV_167.SG"	"minus"	"ds"	"ERS5514552"	2021-03-23	2021-01-06	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"Pa28A"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR505/006/ERR5051616/ERR5051616.fastq.gz"	1784747446	"61769f8b0cf8e11ef04ce83f8a462259"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR505/006/ERR5051616/ERR5051616.fastq.gz"	39955384	"ftp.sra.ebi.ac.uk/vol1/run/ERR505/ERR5051616/PAPV_167_RTP.fastq.gz"
