"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"UDG"	"Library_Built"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA8984840"	"PRJEB46357"	"ERR6324164"	"POP02"	"POP02"	"minus"	"ds"	"ERS6667545"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP02"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/004/ERR6324164/ERR6324164.fastq.gz"	2427675201	"ff99feffe5dc8fd03ca223e927aa32ea"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/004/ERR6324164/ERR6324164.fastq.gz"	64636701	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324164/ZEM02_S3_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324164/ZEM02_S3_L005.q30.rmdup.bam.bai"
"SAMEA8984841"	"PRJEB46357"	"ERR6324165"	"POP04"	"POP04"	"minus"	"ds"	"ERS6667546"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP04"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/005/ERR6324165/ERR6324165.fastq.gz"	2523256165	"a1b5089e8de011ad5bde96cc1b8494c1"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/005/ERR6324165/ERR6324165.fastq.gz"	68764710	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324165/ZEM04_S2_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324165/ZEM04_S2_L005.q30.rmdup.bam.bai"
"SAMEA8984842"	"PRJEB46357"	"ERR6324166"	"POP05"	"POP05"	"minus"	"ds"	"ERS6667547"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP05"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/006/ERR6324166/ERR6324166.fastq.gz"	2124622400	"1ab93f38517539ed19080b1233ba02bc"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/006/ERR6324166/ERR6324166.fastq.gz"	58745585	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324166/ZEM05_S3_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324166/ZEM05_S3_L005.q30.rmdup.bam.bai"
"SAMEA8984843"	"PRJEB46357"	"ERR6324167"	"POP06"	"POP06"	"minus"	"ds"	"ERS6667548"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP06"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/007/ERR6324167/ERR6324167.fastq.gz"	3013795126	"62a8968b17145e834f05cd877d37f5b4"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/007/ERR6324167/ERR6324167.fastq.gz"	84137844	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324167/ZEM06_S2_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324167/ZEM06_S2_L005.q30.rmdup.bam.bai"
"SAMEA8984844"	"PRJEB46357"	"ERR6324168"	"POP07"	"POP07"	"minus"	"ds"	"ERS6667549"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP07"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/008/ERR6324168/ERR6324168.fastq.gz"	2316558010	"2dd9d5b34d395c2be8fb8805eca8a63b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/008/ERR6324168/ERR6324168.fastq.gz"	64380514	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324168/ZEM07_S2_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324168/ZEM07_S2_L005.q30.rmdup.bam.bai"
"SAMEA8984845"	"PRJEB46357"	"ERR6324169"	"POP08"	"POP08"	"minus"	"ds"	"ERS6667550"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP08"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/009/ERR6324169/ERR6324169.fastq.gz"	2251980586	"597abba28d18b0b385e33d58a927714f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/009/ERR6324169/ERR6324169.fastq.gz"	65700489	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324169/ZEM08_S1_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324169/ZEM08_S1_L005.q30.rmdup.bam.bai"
"SAMEA8984846"	"PRJEB46357"	"ERR6324170"	"POP09"	"POP09"	"minus"	"ds"	"ERS6667551"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP09"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/000/ERR6324170/ERR6324170.fastq.gz"	2392317678	"90e3c5a3535fc7558e0ba89390efa321"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/000/ERR6324170/ERR6324170.fastq.gz"	66061798	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324170/ZEM09_S2_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324170/ZEM09_S2_L005.q30.rmdup.bam.bai"
"SAMEA8984847"	"PRJEB46357"	"ERR6324171"	"POP11"	"POP11"	"minus"	"ds"	"ERS6667552"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP11"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/001/ERR6324171/ERR6324171.fastq.gz"	2630145135	"d6b50a8374b25352b00ebeb327951f57"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/001/ERR6324171/ERR6324171.fastq.gz"	72018291	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324171/ZEM11_S2_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324171/ZEM11_S2_L005.q30.rmdup.bam.bai"
"SAMEA8984848"	"PRJEB46357"	"ERR6324172"	"POP12"	"POP12"	"minus"	"ds"	"ERS6667553"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP12"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/002/ERR6324172/ERR6324172.fastq.gz"	2534736427	"bf892f36f02d2b3ed6e26adf7f23606d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/002/ERR6324172/ERR6324172.fastq.gz"	66847103	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324172/ZEM12_S3_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324172/ZEM12_S3_L005.q30.rmdup.bam.bai"
"SAMEA8984849"	"PRJEB46357"	"ERR6324173"	"POP13"	"POP13"	"minus"	"ds"	"ERS6667554"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP13"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/003/ERR6324173/ERR6324173.fastq.gz"	2266767651	"c90d52c7c1b270af57394571a71a6a07"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/003/ERR6324173/ERR6324173.fastq.gz"	62618526	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324173/ZEM13_S4_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324173/ZEM13_S4_L005.q30.rmdup.bam.bai"
"SAMEA8984850"	"PRJEB46357"	"ERR6324174"	"POP14"	"POP14"	"minus"	"ds"	"ERS6667555"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP14"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/004/ERR6324174/ERR6324174.fastq.gz"	2855682870	"3a838d739263850d1459fd9fe34d54ce"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/004/ERR6324174/ERR6324174.fastq.gz"	79955729	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324174/ZEM14_S4_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324174/ZEM14_S4_L005.q30.rmdup.bam.bai"
"SAMEA8984851"	"PRJEB46357"	"ERR6324175"	"POP16"	"POP16"	"minus"	"ds"	"ERS6667556"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP16"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/005/ERR6324175/ERR6324175.fastq.gz"	2396455979	"eefb6e8393a8e91b4577df69c93638aa"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/005/ERR6324175/ERR6324175.fastq.gz"	66049465	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324175/ZEM16_S2_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324175/ZEM16_S2_L005.q30.rmdup.bam.bai"
"SAMEA8984852"	"PRJEB46357"	"ERR6324176"	"POP19"	"POP19"	"minus"	"ds"	"ERS6667557"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP19"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/006/ERR6324176/ERR6324176.fastq.gz"	2645485515	"091ce45d8a65663a1a1bd3b562d6ba77"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/006/ERR6324176/ERR6324176.fastq.gz"	76122707	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324176/ZEM19_S3_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324176/ZEM19_S3_L005.q30.rmdup.bam.bai"
"SAMEA8984853"	"PRJEB46357"	"ERR6324177"	"POP23"	"POP23"	"minus"	"ds"	"ERS6667558"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP23"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/007/ERR6324177/ERR6324177.fastq.gz"	3035490239	"d32ba31f406231357497009628e22fea"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/007/ERR6324177/ERR6324177.fastq.gz"	83438850	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324177/ZEM23_S4_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324177/ZEM23_S4_L005.q30.rmdup.bam.bai"
"SAMEA8984854"	"PRJEB46357"	"ERR6324178"	"POP24"	"POP24"	"minus"	"ds"	"ERS6667559"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP24"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/008/ERR6324178/ERR6324178.fastq.gz"	2143740408	"68213bb82742eb1dc8c28826e6da82f2"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/008/ERR6324178/ERR6324178.fastq.gz"	60678992	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324178/ZEM24_S4_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324178/ZEM24_S4_L005.q30.rmdup.bam.bai"
"SAMEA8984855"	"PRJEB46357"	"ERR6324179"	"POP27"	"POP27"	"minus"	"ds"	"ERS6667560"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP27"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/009/ERR6324179/ERR6324179.fastq.gz"	2283169475	"f77c332ecfecacba133d6907d8578c97"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/009/ERR6324179/ERR6324179.fastq.gz"	64916107	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324179/ZEM27_S3_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324179/ZEM27_S3_L005.q30.rmdup.bam.bai"
"SAMEA8984856"	"PRJEB46357"	"ERR6324180"	"POP30"	"POP30"	"minus"	"ds"	"ERS6667561"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP30"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/000/ERR6324180/ERR6324180.fastq.gz"	2263105144	"fdca962496746e8cee103765d45eac3b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/000/ERR6324180/ERR6324180.fastq.gz"	62077048	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324180/ZEM30_S3_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324180/ZEM30_S3_L005.q30.rmdup.bam.bai"
"SAMEA8984857"	"PRJEB46357"	"ERR6324181"	"POP33"	"POP33"	"minus"	"ds"	"ERS6667562"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP33"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/001/ERR6324181/ERR6324181.fastq.gz"	1746649137	"b9ef6503e3b7c8b0e7de84dfaab3fbe5"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/001/ERR6324181/ERR6324181.fastq.gz"	47407980	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324181/ZEM33_S3_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324181/ZEM33_S3_L005.q30.rmdup.bam.bai"
"SAMEA8984858"	"PRJEB46357"	"ERR6324182"	"POP35"	"POP35"	"minus"	"ds"	"ERS6667563"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP35"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/002/ERR6324182/ERR6324182.fastq.gz"	1951665509	"6dd966a7d5dc7baf726e2a5c6c5ca506"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/002/ERR6324182/ERR6324182.fastq.gz"	54580046	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324182/ZEM35_S4_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324182/ZEM35_S4_L005.q30.rmdup.bam.bai"
"SAMEA8984859"	"PRJEB46357"	"ERR6324183"	"POP36"	"POP36"	"minus"	"ds"	"ERS6667564"	2021-08-19	2021-08-19	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"POP36"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR632/003/ERR6324183/ERR6324183.fastq.gz"	1800079356	"c73adc7938c165413a69b548ba234495"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR632/003/ERR6324183/ERR6324183.fastq.gz"	47501287	"ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324183/ZEM36_S4_L005.q30.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR632/ERR6324183/ZEM36_S4_L005.q30.rmdup.bam.bai"
