"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"UDG"	"Library_Built"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA7753461"	"PRJEB40698"	"ERR5032504"	"utigBER001"	"BER001"	"minus"	"ds"	"ERS5500799"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/004/ERR5032504/ERR5032504.fastq.gz"	292514298	"fd022f8ab9f4cab7ca30e38ca9084618"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/004/ERR5032504/ERR5032504.fastq.gz"	8039814	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032504/WG25chr_utigBER001_2_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032504/WG25chr_utigBER001_2_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753462"	"PRJEB40698"	"ERR5032505"	"utigKAR001"	"KAR001"	"minus"	"ds"	"ERS5500800"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/005/ERR5032505/ERR5032505.fastq.gz"	433435259	"ad9cfdd8d0a66f9add8a8f839f487aae"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/005/ERR5032505/ERR5032505.fastq.gz"	12357348	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032505/WG25chr_utigKAR001_1_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032505/WG25chr_utigKAR001_1_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753463"	"PRJEB40698"	"ERR5032506"	"utigPES001"	"PES001"	"minus"	"ds"	"ERS5500801"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/006/ERR5032506/ERR5032506.fastq.gz"	9307234669	"78bac5a651404ab19c84e088cc75ac33"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/006/ERR5032506/ERR5032506.fastq.gz"	298730894	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032506/WG25chr_utigPES001_3_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032506/WG25chr_utigPES001_3_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753464"	"PRJEB40698"	"ERR5032507"	"utigBOL001"	"BOL001"	"minus"	"ds"	"ERS5500802"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/007/ERR5032507/ERR5032507.fastq.gz"	254062865	"8a04181b296cd61da74b101e8f79be7f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/007/ERR5032507/ERR5032507.fastq.gz"	6722049	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032507/WG25chr_utigBOL001_1_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032507/WG25chr_utigBOL001_1_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753465"	"PRJEB40698"	"ERR5032508"	"utigBOL002"	"BOL002"	"minus"	"ds"	"ERS5500803"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/008/ERR5032508/ERR5032508.fastq.gz"	261433646	"97c1b87c1f49b580d101feaa32bd4ddc"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/008/ERR5032508/ERR5032508.fastq.gz"	6937496	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032508/WG25chr_utigBOL002_2_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032508/WG25chr_utigBOL002_2_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753466"	"PRJEB40698"	"ERR5032509"	"utigBOL003"	"BOL003"	"minus"	"ds"	"ERS5500804"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/009/ERR5032509/ERR5032509.fastq.gz"	2512568035	"89cff6107edee9fb46cf56bdc2d8dbf9"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/009/ERR5032509/ERR5032509.fastq.gz"	73526006	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032509/WG25chr_utigBOL003_2_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032509/WG25chr_utigBOL003_2_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753467"	"PRJEB40698"	"ERR5032510"	"utigGOL001"	"GOL001"	"minus"	"ds"	"ERS5500805"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/000/ERR5032510/ERR5032510.fastq.gz"	273791207	"79c3f8071d70fad6b6c64e7384de1344"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/000/ERR5032510/ERR5032510.fastq.gz"	7518746	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032510/WG25chr_utigGOL001_2_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032510/WG25chr_utigGOL001_2_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753468"	"PRJEB40698"	"ERR5032511"	"utigHAL001"	"HAL001"	"minus"	"ds"	"ERS5500806"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/001/ERR5032511/ERR5032511.fastq.gz"	2868371016	"f7b4fbce6e73b1dc80e52cab10e9383f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/001/ERR5032511/ERR5032511.fastq.gz"	82536904	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032511/WG25chr_utigHAL001_2_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032511/WG25chr_utigHAL001_2_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753469"	"PRJEB40698"	"ERR5032512"	"utigHAN001"	"HAN001"	"minus"	"ds"	"ERS5500807"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/002/ERR5032512/ERR5032512.fastq.gz"	695002	"33004163ca4ae2f01a8252825a804f67"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/002/ERR5032512/ERR5032512.fastq.gz"	18026	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032512/WG25chr_utigHAN001_1_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032512/WG25chr_utigHAN001_1_merge_remdup_realign_MQ10.bam.bai"
"SAMEA7753470"	"PRJEB40698"	"ERR5032513"	"utigHAN002"	"HAN002"	"minus"	"ds"	"ERS5500808"	2021-01-19	2020-12-28	"NextSeq 500"	"SINGLE"	"METAGENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR503/003/ERR5032513/ERR5032513.fastq.gz"	2742740251	"455ed9b910e32c4604949b2398bae950"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/003/ERR5032513/ERR5032513.fastq.gz"	78348821	"ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032513/WG25chr_utigHAN002_2_merge_remdup_realign_MQ10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR503/ERR5032513/WG25chr_utigHAN002_2_merge_remdup_realign_MQ10.bam.bai"
